|  dataIn  | diDB  | dbOut | dbAC  | acDB  |  dbX  |  xDB  |  dbY  |  yDB  | aluDB |dbBALU |dbAALU | dataOut  |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 01000001 |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000111 |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   1   | 01000001 |
| 00000000 |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01001000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01001000 |
| 11111111 |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 01001000 |
| 00000000 |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   1   | 01001000 |
| 00000000 |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   | 01001000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01001000 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10110111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10110111 |
| 00001000 |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 10110111 |
| 00000000 |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   1   | 10110111 |
| 00000000 |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   | 10110111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10110111 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10111111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10111111 |
| 10101010 |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 10111111 |
| 00000000 |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   1   | 10111111 |
| 00000000 |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   | 10111111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10111111 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10101010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10101010 |
| 00000000 |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   1   | 10101010 |
| 00000000 |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   | 10101010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 10101010 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01010101 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01010101 |
| 01000001 |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 01010101 |
| 00000000 |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   1   | 01010101 |
| 00000000 |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   | 01010101 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01010101 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010100 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010100 |
| 00000111 |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   | 00010100 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010100 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00000111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 00000111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   1   | 00000111 |
| 00000000 |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   | 00000111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000111 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00000110 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000110 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 00000110 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   1   | 00000110 |
| 00000000 |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   | 00000110 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000110 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00000101 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000101 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 00000101 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   1   | 00000101 |
| 00000000 |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   | 00000101 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000101 |
