|  dataIn  | diDB  | dbOut | dbAC  | acDB  |  dbX  |  xDB  |  dbY  |  yDB  | aluDB |dbBALU |dbAALU | dataOut  |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 01000001 |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00101010 |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00101010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00101010 |
| 00010111 |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   | 00101010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00101010 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00101010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00101010 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   0   |   0   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 01000001 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   | 00010111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00010111 |
